Queue Type,Producer Threads,Consumer Threads,Total Elements,Execution Time (ms)

LockFreeQueue,1,1,1000,0.802
SimpleBlockingQueue,1,1,1000,1.017  

LockFreeQueue,1,1,10000,5.2
SimpleBlockingQueue,1,1,10000,2.595

LockFreeQueue,1,1,100000,54.528
SimpleBlockingQueue,1,1,100000,36.812

LockFreeQueue,2,2,1000,0.751
SimpleBlockingQueue,2,2,1000,1.439

LockFreeQueue,2,2,10000,4.774
SimpleBlockingQueue,2,2,10000,5.958

LockFreeQueue,2,2,100000,50.314
SimpleBlockingQueue,2,2,100000,38.2

LockFreeQueue,4,4,1000,1.564
SimpleBlockingQueue,4,4,1000,2.361

LockFreeQueue,4,4,10000,6.489
SimpleBlockingQueue,4,4,10000,7.605

LockFreeQueue,4,4,100000,53.46
SimpleBlockingQueue,4,4,100000,59.052

LockFreeQueue,8,8,1000,3.658
SimpleBlockingQueue,8,8,1000,4.207

LockFreeQueue,8,8,10000,7.645
SimpleBlockingQueue,8,8,10000,8.228

LockFreeQueue,8,8,100000,67.634
SimpleBlockingQueue,8,8,100000,84.205

LockFreeQueue,16,16,1000,6.569
SimpleBlockingQueue,16,16,1000,4.342

LockFreeQueue,16,16,10000,8.28
SimpleBlockingQueue,16,16,10000,5.856

LockFreeQueue,16,16,100000,69.766
SimpleBlockingQueue,16,16,100000,51.797

LockFreeQueue,32,32,1000,30.106
SimpleBlockingQueue,32,32,1000,7.103

LockFreeQueue,32,32,10000,12.121
SimpleBlockingQueue,32,32,10000,30.478

LockFreeQueue,32,32,100000,66.827
SimpleBlockingQueue,32,32,100000,51.889
